Genotype ID	B11	Na23	Mg25	Al27	P31	S34	K39	Ca43	Mn55	Fe57	Co59	Ni60	Cu65	Zn66	As75	Se82	Rb85	Sr88	Mo98	Cd111
BESC-100	297.5	27.53	1927	8.8	2732	1967	9738	8633	97.34	179.63	2.71	2.37	5.5	215.57	0.145	0.79	5.6	28.29	0.21	0.71
BESC-101	273.75	47.73	2513	9.15	2316	1813	6247	10962	41.55	88.95	4.65	3.83	4.79	138.63	0.16	0.74	6.58	36.43	0.28	0.51
BESC-104	276.55	53.34	1286	8.88	2100	1499	7786	8802	36.87	54.08	2.84	3.19	6.03	105.41	0.069	0.63	4.48	29.85	0.12	0.48
BESC-105	206.89	32.36	2159	11.53	2459	1707	8218	12051	78.25	91.05	6.38	3.59	6.49	181.43	0.068	0.69	6.24	48.17	0.18	0.66
BESC-107	247.07	35.86	1880	9.63	2204	1617	6593	9618	42.52	65.2	5.18	3.41	6.68	73.76	0.071	0.62	8.19	29.48	0.16	0.58
BESC-108	319.5	36.02	1797	25.8	2269	1630	6718	6027	68.12	152.97	4.41	2.2	4.67	122.26	0.107	0.43	7.73	19.67	0.24	0.47
BESC-109	205.2	26.71	1913	12.89	2121	1392	4782	7818	22.09	83.58	1.49	4.67	6.28	138.78	0.135	0.61	4.43	29.36	0.07	0.33
BESC-112	374.51	47.05	1740	10.03	2350	1664	7346	9028	50.39	79.45	7.27	5.33	6.13	143.21	0.12	0.72	6.37	30.95	0.16	0.62
BESC-113	366.36	61.22	3130	15.48	4522	2657		17452	108.51	152.98	15.57	9.16	18.46	224.67	0.117	0.76		53.76	0.31	1.58
BESC-115	215.36	38.45	1758	16.26	2435	1895	7731	10338	59.47	97.78	6.25	6.03	7.57	248.18	0.062	0.56	4.42	36.99	0.09	0.95
BESC-117	177.51	36.1	1698	23.33	2402	1796	7651	10272	101.02	173.61	5.73	5.05	7.6	202.84	0.054	0.6	6.78	43.23	0.16	0.91
BESC-118	224.09	46.86	1818	21.43	2416	1568	8890	13261	60.16	85.04	3.16	7.7	6.61	255.34	0.062	0.57	7.02	45.77	0.13	1.26
BESC-120	295.34	51.88	1513	16.73	2307	1679	8202	9217	66.88	57.5	4.49	3.47	5.53	147.41	0.056	0.58	6.58	27.36	0.15	1.02
BESC-123	243.32	52.4	1653	6.5	2280	1473	6140	11455	30.78	126.64	1.46	1.94	6	126.18	0.108	0.55	5.38	37.64	0.21	0.35
BESC-124	227.33	30.24	1862	7.99	2270	1678	5872	9802	44.4	203.15	3.57	4.4	5.76	141.33	0.13	0.76	8.24	35.32	0.13	0.66
BESC-129	236.87	51.59	1723	9.73	2700	1784	7237	8890	43.88	50.01	7.91	3.97	7.6	221.25	0.07	0.79	5.29	31.16	0.16	0.83
BESC-13	530.47	80.87	1523	7.29	2392	1710	10416	8725	45.8	63.6	4.02	3.76	5.79	132.44	0.081	0.66	6.66	31.19	0.08	0.65
BESC-130	234.18	36.67	1446	21.35	2626	1668	9363	9511	87.7	58.1	6.8	5.89	6.95	219.32	0.063	0.77	5.71	35.4	0.31	0.7
BESC-133	202.92	31.18	1403	12.89	1947	1402	6028	7575	59.02	56.86	4.58	3.34	4.05	118.73	0.063	0.58	5.98	24.94	0.17	0.6
BESC-134	306.18	57.42	1969	25.13	2587	1744	9758	12550	105.07	81.25	10.81	8.61		237.59	0.072	0.67	5.31	46.17	0.16	1.19
BESC-135	196.05	56.9	1876	13.75	2687	1662	9786	12149	75.97	81.02	7.26	3.97	6.18	260.45	0.081	0.77	10.63	47.32	0.14	1.22
BESC-138	419.25	57.12	1565	10.35	2528	1575	7634	9317	110	59.3	4.88	3.03	5.35	177.06	0.064	0.54	4.46	32.05	0.17	1.08
BESC-14	279.78	92.89	1548	24.07	2649	1750	8128	9219	59.22	99.58	6.06		7.09	222.77	0.087	0.81	6.55	27.96	0.32	0.57
BESC-140	266.49	48.59	1903	53.36	2379	1673	6254	11224	104.14	103.75	5.45	5.37	5.68	187.85	0.063	0.5	3.14	36.57	0.24	1.2
BESC-141	237.54	46.33	1660	20.33	2191	1656	5572	7231	91.87	122.21	5.08	1.87	18.7	136.83	0.078	0.71	4.67	27.67	0.41	0.64
BESC-146	179.18	99.26	1088	77.31	2334	1433	7970	4164	59	227.29	1.66	1.54	5.99	73.64	0.172	0.56	3.4	12.71	0.14	0.29
BESC-147	234.81	24.36	1700	33.73	2661	1778	8421	10531	68.25	67.4	5.13	5.83	9.82	168.97	0.077	0.77	5.15	41.43	0.37	0.93
BESC-15	563.66	66.39	2444	14.72	3083	2292	8303	8300	76.96	94.35	4.67	3.46	6.2	173.21	0.096	1.32	5.54	28.01	0.38	0.52
BESC-152	185.33	30.67	1649	17.43	2337	1683	6394	9884	75.98	65.21	3.14	4.31	7.14	127.67	0.053	0.6	4.47	34.73	0.24	0.9
BESC-154	279.82	34.87	2096	21.25	2566	1947	6451	12482	74.94	113.2	3.09	4.97	5.71	138.27	0.064	0.58	4.7	41.1	0.2	1.06
BESC-155	190.56	32.47	1699	14.78	2582	1806	10306	8463	84.69	73.9	4.18	3.25	6.26	177.72	0.066	0.66	4.97	27.55	0.66	0.72
BESC-156	261.63	38.5	1502	5.71	2262	1576	6545	7797	52.11	56.91	2.14	1.75	6.21	198.06	0.058	0.49	4.11	24.43	0.21	0.82
BESC-161	185.1	23.57	1671	20.34	2175	1576	5742	9140	87.36	74.45	2.55	1.97	4.42	187.62	0.099	0.72	3.45	34.48	0.35	0.63
BESC-162	262.5	48.63	1706	22.32	2546	1885	8704	7903	90.3	60.52	5.02	2.27	5.35	199	0.068	0.68	3.62	29.7	0.4	0.92
BESC-163	283.99	33.73	1309	14.71	2546	1825	8301	6709	70.32	58.64	3.62	2.41	6.14	196.17	0.077	0.76	4.7	22.73	0.5	0.51
BESC-167	215.01	42.6	1796	9.92	2426	1751	6152	11493	48.71	65.19	5.44	2.72	5.49	189.14	0.088	0.55	4.93	45.76	0.27	0.64
BESC-168	402.62	42.84	1244	12.3	2540	1686	7415	7031	57.16	118.77	2.42	2.37	7.04	110.13	0.098	0.75	3.42	23.91	0.22	0.38
BESC-171	263.22	49.34	1656	6.68	2831	1815	9523	9391	97.51	87.8	7.18	4.19	7.46	143.58	0.057	0.57	6.7	29.45	0.18	1.18
BESC-172	192.45	33.61	1849	13.77	1665	1407	4640	5624	54.44	163.01	1.91	1.84	3.86	137.87	0.09	0.5	2.96	18.96	0.26	0.39
BESC-173	236.9	31.85	1398	10.03	2388	1433	6735	7991	62.53	74.8	4.06	3.29	4.5	129.91	0.073	0.71	2.97	29.82	0.1	0.69
BESC-178	201.38	31.6	971	27.03	1994	1341	5718	4910	48.91	56.29	5.65	2.59	6.44	66.6	0.044	0.56	4.16	15.57	0.37	0.3
BESC-179	410.08	45.67	1864	12.26	2361	1784	7149	9989	55.78	79.31	2.94	3.27	5.72	212.21	0.105	0.68	6.34	35.62	0.22	1.13
BESC-18	207.91	31.51	2534	12.3	2445	1697	5718	12556	60.83	115.24	3.91	4.13	5.8	145.82	0.063	0.49	5.17	43.05	0.18	0.57
BESC-180	182.27	28.88	1816	10.12	1915	1524	4142	5667	68.01	271.24	2.08	2.84	4.18	81.88	0.199	0.63	3.44	21.55	0.51	0.43
BESC-181	248.91	53.19	1534	21.16	2391	1806	6743	11016	87.76	69.72	5.71	3.57	6	159.73	0.054	0.62	3.99	41.07	0.34	0.74
BESC-182	284.15	54.62	2092	11.19	2475	1696	7184	13053	42.56	75.79	3.52	4.56	7.23	306.05	0.097	0.73	7.22	49.48	0.21	1.1
BESC-184	233.3	50.53	1020	10.53	2361	1577	7801	5136	51.63	163.62	1.54	1.46	5.27	117.19	0.115	0.51	2.58	15.44	0.2	0.33
BESC-185	228.91	34.29	2074	8.62	2062	1696	4654	11977	49.91	137.42	1.81	2.18	5	156.35	0.101	0.44	3.91	45.52	0.28	1.02
BESC-187	271.56	39.16	2385	24.99	2405	1706	4821	9854	31.14	89.48	4.26	7.3	8.8	166.42	0.072	0.62	4.03	33.27	0.42	0.42
BESC-19	186.5	34.16	1534	21.66	2151	1366	6939	6943	78.6	119.34	5.41	2.76	4.61	121.99	0.088	0.61	7	22.55	0.19	0.61
BESC-191	397.76	22.46	1301	24.29	2546	1837	9974	8450	102.95	74.17	4.92	3.37	6.73	186.85	0.077	0.67	8.34	30.29	0.48	0.86
BESC-195	291.71	39.94	1917	16.54	1924	1439	6007	6670	36.69	77.59	3.96	4.42	7.15	185.62	0.084	0.57	8.77	22.82	0.29	0.5
BESC-197	196.37	23.64	1698	14.86	2513	1901	7129	9629	105.93	157.57	1.73	2.2	4.82	158.99	0.146	0.54	6.69	36.12	0.25	0.7
BESC-198	441.93	32.88	1513	32.03	2506	2036	8936	9002	108.84	102.79	6.57	3.87	5.81	201.37	0.094	0.67	8.2	34.72	0.55	0.73
BESC-199	229.25	37.36	2127	42.23	2454	1781	6664	9266	43.19	85.87	1.31	5.91	6.75	175.77	0.176	0.61	7.95	30.9	0.23	0.61
BESC-200	277.91	33.82	1614	20.16	2197	1776	7344	9013	89.31	115.34	3.87	3.27	4.84	129.69	0.103	0.63	6.22	34.84	0.31	0.67
BESC-201	210.85	31.78	1681	30.88	2525	1682	7452	9349	61.77	99.4	4.32	7.17	9.16	168.05	0.095	0.43	6.83	30.12	0.3	0.76
BESC-202	238.91	67.88	2267	8.42	2225	1586	4791	8865	37.4	122.23	2.82	3.21	4.29	97.69	0.096	0.61	5.47	29.61	0.53	0.52
BESC-205	631.01	59.68	1667	20.65	2581	2047	8623	13548	131.5	112.65	4.43	4.57	6.79	238.96	0.091	0.78	6.85	52.23	0.22	1.05
BESC-206	230.66	60.42	1994	11.51	2281	1477	4906	8449	35.45	97.84	2.82	2.96	4.72	97.29	0.101	0.75	4.33	29.13	0.55	0.5
BESC-208	227.34	42.35	2460	15.4	2286	1587	5922	11068	39.48	103.33	2.95	3.63	6.52	159.97	0.087	0.64	5.76	42.64	0.18	0.72
BESC-209	477.44	50.45	1956	9.97	1768	1598	4681	8810	57.67	49.19	3.5	3.81	4.63	100.82	0.092	0.72	4.2	34.26	0.32	1
BESC-211	237.81	39.35	1505	11.26	2347	1893	7853	7413	56.58	126.72	2.12	1.96	6.67	189.19	0.126	0.69	5.41	25.5	0.19	0.5
BESC-213	260.1	89.31	1897	11.98	2464	1482	7500	4359	38.5	87.3	4.06	5	5.69	93.3	0.195	0.75	7.47	13.94	0.56	0.4
BESC-216	297.04	48.97	2015	35.25	2495	1733	6145	13531	71.8	131.72	2.61	9.07	5.26	190.59	0.099	0.68	4.15	47.94	0.39	1.37
BESC-219	322.28	38.53	2439	10.84	2635	2016	7833	13716	81.22	77.88	4.6	3.26	5.58	115.22	0.083	0.59	7.28	49.26	0.23	1.1
BESC-22	240.24	83.1	2024	30.7	2724	1351	6296	7278	38.52	158.96	2.37	2.58	6.21	71.13	0.109	0.59	4.79	24.19	0.16	0.58
BESC-220	250.84	54.03	1896	10.27	2352	1640	5763	8467	48.4	98.89	2.72	2.86	5.67	102.32	0.105	0.6	7.59	31.41	0.42	0.84
BESC-222	255.94	46.64	1576	16.78	2257	1694	5566	5938	94.52	131.99	4.88	2.39	4.64	138.79	0.085	0.59	5.13	21.76	0.41	0.62
BESC-226	227.96	45.98	1661	7.61	2408	1834	7014	13987	57.16	76.17	3.49	2.82	6.64	215.54	0.109	0.7	7.11	49.73	0.21	1.29
BESC-228	276.71	46.65	1855	15.87	2570	2070	8541	8998	132.37	176.05	3.15	3.01	7.24	238.21	0.215	0.67	7.21	35.1	0.41	0.79
BESC-230	210.12	21.99	1452	8.53	2461	1768	7148	7051	59.45	108.79	4.05	2.89	5.16	102.39	0.082	0.6	9.35	22.49	0.21	0.6
BESC-231	241.47	32.16	1698	20.84	2425	1890	7537	9689	95.83	62.08	6.67	2.82	6.38	183.32	0.053	0.77	3.51	36.48	0.37	0.96
