Genotype ID	B11	Na23	Mg25	Al27	P31	S34	K39	Ca43	Mn55	Fe57	Co59	Ni60	Cu65	Zn66	As75	Se82	Rb85	Sr88	Mo98	Cd111
BESC-100	0.61	1.73	35.49	1.37	19.73	19.77	87.97	208.02	6.09	1.8	1.12	0.8	0.99	26.93	-3.07	-0.24	2.0	9.75	-1.26	-0.33
BESC-101	0.61	1.84	39.11	1.38	18.91	19.33	73.67	235.62	4.69	1.74	1.85	1.2	0.95	21.24	-2.85	-0.32	2.22	11.49	-1.07	-0.63
BESC-104	0.61	1.86	30.55	1.37	18.44	18.35	80.46	210.13	4.51	1.69	1.18	1.05	1.02	18.29	-5.17	-0.5	1.71	10.1	-1.59	-0.68
BESC-105	0.61	1.77	37.0	1.46	19.2	19.01	82.21	247.55	5.71	1.74	2.31	1.15	1.04	24.56	-5.22	-0.39	2.15	13.73	-1.35	-0.4
BESC-107	0.61	1.79	35.17	1.4	18.67	18.73	75.28	220.08	4.73	1.71	2.0	1.11	1.05	14.99	-5.08	-0.52	2.53	10.02	-1.43	-0.52
BESC-108	0.61	1.79	34.59	1.68	18.81	18.78	75.84	172.41	5.48	1.79	1.77	0.74	0.94	19.84	-3.85	-0.97	2.44	7.63	-1.17	-0.7
BESC-109	0.61	1.72	35.39	1.5	18.49	17.97	66.17	197.52	3.74	1.74	0.42	1.36	1.03	21.26	-3.25	-0.53	1.69	9.99	-1.86	-0.99
BESC-112	0.61	1.84	34.18	1.42	18.98	18.88	78.61	212.93	4.99	1.73	2.52	1.46	1.02	21.62	-3.54	-0.35	2.17	10.34	-1.43	-0.46
BESC-113	0.61	1.89	42.37	1.55	22.39	21.44	80.23	300.21	6.28	1.79	3.84	1.85	1.24	27.53	-3.61	-0.29	1.69	14.71	-0.99	0.48
BESC-115	0.61	1.8	34.31	1.56	19.16	19.57	79.9	228.53	5.26	1.75	2.28	1.55	1.08	29.03	-5.54	-0.64	2.26	11.61	-1.74	-0.05
BESC-117	0.61	1.79	33.87	1.66	19.09	19.28	84.83	227.77	6.15	1.8	2.15	1.42	1.08	26.07	-6.04	-0.55	2.31	12.82	-1.43	-0.09
BESC-118	0.61	1.84	34.73	1.64	19.12	18.58	82.15	260.2	5.28	1.74	1.32	1.73	1.04	29.47	-5.54	-0.61	2.22	13.29	-1.54	0.24
BESC-120	0.61	1.86	32.46	1.57	18.89	18.93	73.16	215.24	5.45	1.69	1.8	1.12	0.99	21.96	-5.9	-0.59	1.95	9.54	-1.46	0.02
BESC-123	0.61	1.86	33.54	1.25	18.84	18.26	71.86	241.09	4.23	1.77	0.4	0.63	1.02	20.18	-3.82	-0.66	2.53	11.74	-1.26	-0.95
BESC-124	0.61	1.75	35.04	1.33	18.81	18.93	78.14	222.27	4.79	1.81	1.48	1.31	1.0	21.47	-3.34	-0.29	1.92	11.27	-1.54	-0.4
BESC-129	0.61	1.86	34.05	1.41	19.67	19.25	90.37	211.23	4.78	1.68	2.65	1.23	1.08	27.31	-5.13	-0.24	2.24	10.39	-1.43	-0.18
BESC-13	0.61	1.93	32.54	1.3	19.07	19.02	86.61	209.17	4.84	1.71	1.64	1.19	1.01	20.72	-4.66	-0.44	2.03	10.39	-1.8	-0.41
BESC-130	0.61	1.79	31.92	1.64	19.53	18.89	72.62	218.8	5.91	1.7	2.41	1.54	1.06	27.18	-5.48	-0.27	2.09	11.28	-0.99	-0.34
BESC-133	0.61	1.76	31.56	1.5	18.08	18.01	88.05	194.29	5.25	1.69	1.82	1.09	0.89	19.52	-5.48	-0.59	1.93	8.97	-1.39	-0.49
BESC-134	0.61	1.87	35.77	1.67	19.46	19.13	88.15	252.84	6.22	1.73	3.18	1.81	1.02	28.36	-5.03	-0.43	2.91	13.37	-1.43	0.18
BESC-135	0.61	1.87	35.14	1.52	19.64	18.88	79.83	248.59	5.67	1.73	2.52	1.23	0.98	29.78	-4.66	-0.27	1.7	13.58	-1.5	0.2
BESC-138	0.61	1.87	32.86	1.43	19.34	18.6	81.85	216.46	6.3	1.7	1.91	1.01	1.06	24.24	-5.43	-0.68	2.21	10.58	-1.39	0.08
BESC-14	0.61	1.95	32.73	1.66	19.57	19.15	73.7	215.27	5.25	1.75	2.24	1.47	1.0	27.41	-4.44	-0.22	1.26	9.67	-0.97	-0.53
BESC-140	0.61	1.85	35.32	1.82	19.04	18.91	70.36	238.54	6.2	1.76	2.08	0.59	1.24	25.02	-5.48	-0.77	1.76	11.52	-1.17	0.19
BESC-141	0.61	1.84	33.59	1.62	18.64	18.86	81.21	189.63	5.99	1.77	1.97	0.42	1.02	21.09	-4.78	-0.36	1.36	9.61	-0.79	-0.43
BESC-146	0.61	1.95	28.71	1.87	18.95	18.12	83.02	142.06	5.25	1.81	0.54	1.53	1.13	14.98	-2.68	-0.64	1.89	5.6	-1.5	-1.09
BESC-147	0.61	1.7	33.89	1.73	19.6	19.23	82.55	230.74	5.49	1.71	1.99	1.12	1.03	23.64	-4.82	-0.27	1.99	12.48	-0.87	-0.07
BESC-15	0.61	1.9	38.72	1.54	20.34	20.61	74.36	203.79	5.69	1.75	1.85	1.3	1.06	23.96	-4.15	0.27	1.7	9.69	-0.84	-0.61
BESC-152	0.61	1.76	33.51	1.58	18.96	18.94	74.62	223.24	5.67	1.71	1.31	1.41	1.0	20.31	-6.11	-0.55	1.77	11.15	-1.17	-0.1
BESC-154	0.61	1.78	36.6	1.63	19.41	19.71	89.98	252.12	5.64	1.76	1.29	1.07	1.03	21.21	-5.43	-0.59	1.84	12.42	-1.29	0.06
BESC-155	0.61	1.77	33.88	1.54	19.45	19.31	75.06	205.87	5.85	1.72	1.7	0.53	1.03	24.29	-5.32	-0.44	1.6	9.58	-0.39	-0.32
BESC-156	0.61	1.8	32.37	1.2	18.8	18.6	71.22	197.24	5.05	1.69	0.83	0.64	0.92	25.74	-5.77	-0.8	1.38	8.84	-1.26	-0.19
BESC-161	0.61	1.7	33.67	1.62	18.61	18.6	84.12	214.3	5.9	1.72	1.05	0.77	0.98	25.01	-4.07	-0.35	1.44	11.09	-0.91	-0.44
BESC-162	0.61	1.85	33.93	1.65	19.38	19.54	82.54	198.64	5.96	1.7	1.96	0.82	1.02	25.81	-5.22	-0.41	1.77	10.07	-0.81	-0.08
BESC-163	0.61	1.78	30.76	1.54	19.38	19.37	73.22	182.35	5.54	1.7	1.5	0.92	0.99	25.61	-4.82	-0.29	1.83	8.43	-0.63	-0.63
BESC-167	0.61	1.82	34.58	1.41	19.14	19.15	78.9	241.5	4.94	1.71	2.07	0.8	1.06	25.12	-4.41	-0.66	1.37	13.29	-1.09	-0.43
BESC-168	0.61	1.82	30.18	1.48	19.36	18.95	87.19	186.87	5.2	1.77	0.98	1.27	1.07	18.73	-4.09	-0.3	2.24	8.72	-1.23	-0.88
BESC-171	0.61	1.85	33.56	1.26	19.91	19.34	65.37	217.36	6.09	1.74	2.5	0.58	0.87	21.65	-5.84	-0.61	1.19	10.01	-1.35	0.17
BESC-172	0.61	1.78	34.95	1.52	17.36	18.03	75.92	166.28	5.12	1.79	0.7	1.08	0.93	21.18	-4.34	-0.77	1.2	7.44	-1.12	-0.86
BESC-173	0.61	1.76	31.52	1.42	19.06	18.12	71.1	199.79	5.34	1.72	1.65	0.88	1.04	20.51	-4.99	-0.36	1.61	10.09	-1.69	-0.36
BESC-178	0.61	1.76	27.51	1.69	18.2	17.79	77.76	154.87	4.95	1.69	2.13	1.08	1.0	14.15	-6.83	-0.64	2.17	6.48	-0.87	-1.07
BESC-179	0.61	1.84	35.06	1.48	19.01	19.25	71.1	224.47	5.16	1.73	1.22	1.26	1.01	26.71	-3.9	-0.41	1.89	11.33	-1.23	0.12
BESC-18	0.61	1.76	39.23	1.48	19.18	18.98	62.45	252.9	5.3	1.77	1.6	0.96	0.9	21.83	-5.48	-0.8	1.37	12.79	-1.35	-0.53
BESC-180	0.61	1.74	34.72	1.42	18.01	18.43	75.96	166.94	5.48	1.82	0.8	1.15	1.02	15.9	-2.37	-0.5	1.56	8.13	-0.61	-0.78
BESC-181	0.61	1.86	32.62	1.63	19.07	19.31	77.91	236.22	5.91	1.72	2.15	1.34	1.07	22.94	-6.04	-0.52	2.35	12.41	-0.93	-0.29
BESC-182	0.61	1.87	36.57	1.45	19.24	18.98	80.52	258.07	4.73	1.73	1.46	0.37	0.98	32.43	-4.12	-0.33	1.03	13.96	-1.26	0.1
BESC-184	0.61	1.85	28.02	1.43	19.01	18.6	65.45	158.56	5.03	1.79	0.45	0.73	0.96	19.38	-3.66	-0.75	1.53	6.45	-1.29	-0.99
BESC-185	0.61	1.78	36.46	1.36	18.35	18.98	66.38	246.75	4.98	1.78	0.64	1.69	1.11	22.67	-4.01	-0.94	1.57	13.25	-1.07	0.02
BESC-187	0.61	1.81	38.37	1.67	19.1	19.01	76.83	222.88	4.25	1.74	1.72	0.93	0.93	23.45	-5.03	-0.52	2.3	10.84	-0.77	-0.8
