Genotype ID	B11	Na23	Mg25	Al27	P31	S34	K39	Ca43	Mn55	Fe57	Co59	Ni60	Cu65	Zn66	As75	Se82	Rb85	Sr88	Mo98	Cd111
BESC-100	5.695414224985685	3.315276319154516	7.563719668414366	2.174751721484161	7.912789220690681	7.584264818389059	9.183791036742646	9.063347348235522	4.5782100044053085	5.190899179780744	0.9969486348916096	0.8628899551470398	1.7047480922384253	5.373285682785342	-1.9310215365615626	-0.23572233352106983	1.7227665977411035	3.342508385313476	-1.5606477482646683	-0.342490308946776
BESC-101	5.612215281130711	3.865560131017805	7.829232537543592	2.21375387928743	7.7475968386928855	7.502738210754851	8.73985662749357	9.302190025606063	3.7268975213014572	4.4880744141118445	1.536867219599265	1.3428648031925547	1.5665304114228238	4.931808513550284	-1.8325814637483102	-0.3011050927839216	1.884034745337226	3.5953926110204724	-1.2729656758128873	-0.6733445532637656
BESC-104	5.622391636440687	3.9766865187538682	7.1592919047975645	2.1838015570040787	7.649692623711514	7.312553498102598	8.960082528170402	9.082734247371036	3.607398212246053	3.9904644317347087	1.0438040521731147	1.1600209167967532	1.7967470107390942	4.657857508267098	-2.6736487743848776	-0.4620354595965587	1.4996230464268938	3.396184839838611	-2.120263536200091	-0.7339691750802004
BESC-105	5.332187251055652	3.4769230921902907	7.677400430514807	2.4449523342809676	7.807510042216193	7.442492722794441	9.014082149443356	9.396902923027392	4.359908829420263	4.511408806173617	1.8531680973566984	1.2781522025001875	1.8702625307159986	5.200869904382071	-2.6882475738060303	-0.37106368139083207	1.8309801823813363	3.8747364206421295	-1.7147984280919266	-0.4155154439616658
BESC-107	5.50967169728727	3.5796224681769866	7.539027055823995	2.2648832258100344	7.698029170272805	7.388327859577107	8.7937637591133	9.171391621837609	3.749974553473747	4.177459468932607	1.6448050562713916	1.2267122912954254	1.8991179875485542	4.300816579248338	-2.645075401940822	-0.4780358009429998	2.102913897864978	3.383712067321136	-1.8325814637483102	-0.5447271754416722
BESC-108	5.766757273817589	3.58407433974781	7.493873886783559	3.250374491927572	7.727094484779841	7.396335293800808	8.812545770172237	8.704004653483045	4.221270855794487	5.0302418237351745	1.4838746894587547	0.7884573603642703	1.541159071680806	4.80614992460058	-2.234926444520231	-0.843970070294529	2.0451088625993306	2.979094632400968	-1.4271163556401458	-0.7550225842780328
BESC-109	5.323985113296614	3.2850380271218693	7.556427969440253	2.556451816951096	7.659642954564682	7.238496840894365	8.47261414801827	8.9641840463529	3.095125017432026	4.425804257019769	0.3987761199573678	1.541159071680806	1.8373699804801074	4.932889945471403	-2.0024805005437076	-0.4942963218147801	1.4883995840570443	3.3796332037463146	-2.659260036932778	-1.1086626245216111
BESC-112	5.925618504870468	3.8512108660313884	7.461640392208575	2.305580601973844	7.762170607138205	7.416979621381154	8.901911226379612	9.108086137937427	3.9197927426925068	4.375127892982725	1.9837562915454279	1.673351238177753	1.81319474994812	4.9643120844906115	-2.120263536200091	-0.3285040669720361	1.851599469584072	3.432372999130605	-1.8325814637483102	-0.4780358009429998
BESC-113	5.903616456534786	4.114473933517266	8.048788283534199	2.739548868161581	8.416709652837914	7.884952945759814	8.952993499320474	9.7672095342435	4.686842334632116	5.03030719389372	2.745345985845907	2.214846178686039	2.9156062290747062	5.414632658929385	-2.145581344184381	-0.2744368457017603	1.4861396960896067	3.984529696214894	-1.171182981502945	0.4574248470388755
BESC-115	5.372311046456363	3.649358695951653	7.471932078245122	2.7887081041196646	7.79770203551669	7.546974117516527	8.942591637231851	9.243581705755984	4.085471983718502	4.5827200571505	1.8325814637483102	1.7967470107390942	2.0241930674493576	5.5141542893464734	-2.7806208939370456	-0.579818495252942	1.9139771019523042	3.610647605844363	-2.4079456086518722	-0.05129329438755058
BESC-117	5.179026945356712	3.586292865338835	7.437206366871292	3.1497400860333387	7.784057002639929	7.493317248862145	9.09268232850795	9.237177025929743	4.615318517039906	5.156811404253857	1.7457155307266483	1.6193882432872684	2.028148247292285	5.312417490926818	-2.9187712324178627	-0.5108256237659907	1.9487632180377197	3.7665346986795405	-1.8325814637483102	-0.09431067947124129
BESC-118	5.412047756875059	3.8471644330796497	7.505492274737424	3.064791809485486	7.789868559054706	7.357556200910353	9.012133305952004	9.4925826756776	4.097007679641584	4.443121734033692	1.1505720275988207	2.0412203288596382	1.888583653863595	5.542595990392205	-2.7806208939370456	-0.5621189181535413	1.884034745337226	3.8236288546655506	-2.0402208285265546	0.23111172096338664
BESC-120	5.688127235045628	3.948933359448243	7.321849713788356	2.8172035149987327	7.7437032581737535	7.425953657077541	8.722580021141189	9.128804883993665	4.202899968776446	4.051784947803305	1.501852701754163	1.244154593958768	1.7101878155342434	4.993217820059186	-2.8824035882469876	-0.5447271754416722	1.682688374173693	3.3090820927543496	-1.8971199848858813	0.01980262729617973
BESC-123	5.494377449452505	3.9589065913269965	7.410347097821024	1.8718021769015913	7.731930721948486	7.29505641646263	8.677950570294351	9.346181594887597	3.426865128410733	4.841348415572757	0.37843643572024505	0.6626879730752367	1.791759469228055	4.837709458942664	-2.2256240518579173	-0.5978370007556204	2.1090003439213802	3.6280673147171787	-1.5606477482646683	-1.0498221244986778
BESC-124	5.426402706311255	3.4091655513113324	7.529406457837013	2.0781907597781832	7.727535110475448	7.425357887027151	8.886962034866128	9.190341725469493	3.7932394694381792	5.313944622433736	1.2725655957915476	1.4816045409242156	1.7509374747078	4.9510975813800595	-2.0402208285265546	-0.2744368457017603	1.665818245870208	3.564449375735759	-2.0402208285265546	-0.4155154439616658
BESC-129	5.46751146743449	3.9433278552565585	7.45182223652793	2.2752138961979136	7.90100705199242	7.486613313139955	9.251098364448351	9.09268232850795	3.7814586354070294	3.9122229854308124	2.0681277817795625	1.3787660946990992	2.028148247292285	5.3992932838880385	-2.659260036932778	-0.23572233352106983	1.8961194845522977	3.4391352210025476	-1.8325814637483102	-0.18632957819149348
BESC-13	6.2737634060308745	4.392842927107731	7.328437352895162	1.986503546020567	7.779885115070522	7.444248649496705	9.14452103093889	9.073947747070628	3.824284091120139	4.152613470346076	1.3912819026309295	1.324418957401803	1.7561322915849038	4.886129712679046	-2.513306124309698	-0.4155154439616658	1.742219023667919	3.440097530619712	-2.5257286443082556	-0.4307829160924542
BESC-130	5.4560900504205785	3.6019589820832345	7.27655640271871	3.0610517396746335	7.873217054862741	7.419380582918692	8.704170559746386	9.160204302482386	4.473921899378137	4.062165663857866	1.916922612182061	1.7732559976634952	1.9387416595767009	5.390531850535847	-2.7646205525906042	-0.2613647641344075	1.7884205679625405	3.5667118201397288	-1.171182981502945	-0.35667494393873245
BESC-133	5.312811812698489	3.4397768636296306	7.246368080102461	2.556451816951096	7.5740450053721995	7.2456550675945355	9.185842740375783	8.93260863037757	4.077876369514794	4.040592106222854	1.5216989981260935	1.205970806988609	1.3987168811184478	4.776852007677701	-2.7646205525906042	-0.5447271754416722	1.6695918352538475	3.2164729402518906	-1.7719568419318752	-0.5108256237659907
BESC-134	5.724173164303935	4.050392674692918	7.585281078639126	3.2240623515555007	7.8582541821860294	7.463936604468925	9.188708071849069	9.43747594455993	4.654626794700683	4.3975308212098465	2.3804716316511167	2.152924318439639	1.8213182714695995	5.4705464990606965	-2.631089159966082	-0.40047756659712525	2.363680192353857	3.8323302365188976	-1.8325814637483102	0.17395330712343798
BESC-135	5.27836972873834	4.041295341132285	7.53689712956617	2.6210388241125804	7.8961806086154915	7.415776975415394	8.940367233305174	9.405002140854743	4.33033852551513	4.394696037774544	1.9823798288367047	1.3787660946990992	1.6770965609079151	5.562410904191201	-2.513306124309698	-0.2613647641344075	1.4951487660319727	3.856933039110186	-1.9661128563728327	0.19885085874516517
BESC-138	6.038467400703318	4.0451543180313285	7.355641102974253	2.336986519711378	7.8351837552667485	7.362010551259734	9.003070169818264	9.139595967450425	4.700480365792417	4.08260930600368	1.5851452198650557	1.1085626195212777	1.958685340544036	5.176488658182903	-2.7488721956224653	-0.616186139423817	1.8794650496471605	3.467297183366679	-1.7719568419318752	0.0769610411361284
BESC-14	5.634003580048285	4.53141599739943	7.344719054149673	3.1809662517949806	7.88193748927207	7.4673710669175595	8.740976538017787	9.129021850798594	4.0812593226734455	4.600961341214036	1.801709800081223	1.6808279085207734	1.7369512327330598	5.406139849076783	-2.4418471603275536	-0.21072103131565253	1.144222799920162	3.3307749173656096	-1.1394342831883648	-0.5621189181535413
BESC-140	5.585336719449719	3.883417748417812	7.551186867296149	3.977061401607368	7.774435510302958	7.422373700986824	8.625509334899697	9.325809621782296	4.645736147734753	4.641984159110808	1.6956156086751528	0.6259384308664954	2.928523523860541	5.235643772019978	-2.7646205525906042	-0.6931471805599453	1.541159071680806	3.59922823216129	-1.4271163556401458	0.1823215567939546
BESC-141	5.470336030346094	3.835789699428557	7.414572881350589	3.012097627640255	7.692113339595466	7.412160334945205	8.98343977178426	8.886132618174951	4.520374534283375	4.805740876449909	1.6253112615903906	0.43178241642553783	1.7900914121273581	4.918739279391719	-2.551046452292545	-0.342490308946776	1.2237754316221157	3.3203487937988347	-0.8915981192837836	-0.4462871026284195
BESC-146	5.188390887169432	4.5977426701592945	6.992096427415888	4.347823313332383	7.755338812846501	7.267525427828172	9.038483865029992	8.33423142973486	4.07753744390572	5.426226735170068	0.5068176023684519	1.763017000362401	2.2844211223663744	4.299188356364877	-1.760260802168684	-0.579818495252942	1.6389967146756448	2.542389085201363	-1.9661128563728327	-1.2378743560016174
BESC-147	5.458776676484857	3.192942442841696	7.438383530044307	3.5183876490735586	7.886457270977689	7.48324441607385	9.02437217426203	9.262078567380597	4.223177434065069	4.210645017918261	1.6351056591826783	1.2412685890696329	1.824549292051046	5.129721184372558	-2.563949857128453	-0.2613647641344075	1.7119945007591924	3.7240052560893107	-0.9942522733438669	-0.07257069283483537
BESC-15	6.334451232839416	4.195546442731068	7.8013913202914855	2.6892071133007303	8.03365842788615	7.73718007783463	8.763115329619787	9.02401079378469	4.343285806357451	4.547011271814559	1.541159071680806	1.4609379041156563	1.965712776351493	5.154504731182189	-2.3434070875143007	0.27763173659827955	1.4973884086254774	3.332561589272017	-0.9675840262617056	-0.6539264674066639
BESC-152	5.222138019809219	3.4232849781261603	7.407924322559599	2.8581928595319295	7.756623334538858	7.428333194190806	8.771990436532242	9.1986725671085	4.330470147759479	4.177612831405111	1.144222799920162	1.6034198401085373	1.742219023667919	4.84944880983226	-2.9374633654300153	-0.5108256237659907	1.547562508716013	3.5476038667559826	-1.4271163556401458	-0.10536051565782628
BESC-154	5.6341465393051395	3.5516268606875596	7.647786045440933	3.056356895370426	7.850103545175582	7.5740450053721995	9.24048152888817	9.432042885493988	4.316687793365541	4.729156165769083	1.128171090909654	1.1786549963416462	1.8341801851120072	4.929208295400526	-2.7488721956224653	-0.5447271754416722	1.6034198401085373	3.716008121502189	-1.6094379124341003	0.058268908123975824
BESC-155	5.24996710560699	3.4803165861147547	7.4377951216719325	2.6932749155200555	7.856319571406588	7.498869733976931	8.786456678344	9.043458999670106	4.4389975309335075	4.302712827954156	1.430311246536665	0.5596157879354227	1.8261608959453874	5.180209278067708	-2.7181005369557116	-0.4155154439616658	1.4134230285081433	3.3160025355989236	-0.4155154439616658	-0.3285040669720361
BESC-156	5.566931291907004	3.6506582412937387	7.31455283232408	1.742219023667919	7.724004656676065	7.362645270417825	8.655562860681009	8.9614943233096	3.9533568689211234	4.041471072615033	0.7608058290337602	0.6780335427498971	1.4861396960896067	5.288570015093157	-2.8473122684357177	-0.7133498878774648	1.2383742310432684	3.195811885269649	-1.5606477482646683	-0.19845093872383832
BESC-161	5.220896219579452	3.1599747169480397	7.421177528595393	3.012589390620414	7.684783943522785	7.362645270417825	9.071537969095724	9.120415664448196	4.470037511996595	4.310127759130018	0.9360933591703348	0.8197798314933114	1.6770965609079151	5.234418640697805	-2.312635428847547	-0.3285040669720361	1.2864740258376797	3.5403794457954922	-1.0498221244986778	-0.4620354595965587
BESC-162	5.570251082031678	3.8842406244156944	7.441906728051625	3.1054831375131102	7.842278779117352	7.541683099882111	9.024131268455035	8.974997713204976	4.5031374604229395	4.102973888920155	1.6134299337036377	0.8796267475025636	1.814824742159051	5.293304824724492	-2.6882475738060303	-0.3856624808119846	1.547562508716013	3.391147045808654	-0.916290731874155	-0.08338160893905101
BESC-163	5.648939026273669	3.5183876490735586	7.1770187659099	2.688527534613346	7.842278779117352	7.509335266016592	8.72453251118548	8.811205187562887	4.253056253376921	4.071417057578396	1.2864740258376797	1.000631880307906	1.7029282555214393	5.278981630241295	-2.563949857128453	-0.2744368457017603	1.5953389880545987	3.123685637864452	-0.6931471805599453	-0.6733445532637656
BESC-167	5.370684538673937	3.751854253275325	7.493317248862145	2.2945529212967815	7.793999089503996	7.467942332285852	8.911260254572033	9.349493433368758	3.8858843478184513	4.177306082936448	1.6937790608678513	0.8628899551470398	1.951608170169951	5.242487481587366	-2.430418464503931	-0.5978370007556204	1.2296405510745139	3.8234103470715426	-1.3093333199837622	-0.4462871026284195
BESC-168	5.997993189070682	3.757472245579548	7.126087273299125	2.509599262378372	7.8399193600125825	7.430114138561801	9.161465204194046	8.858084222199162	4.045854353061666	4.777188849786149	0.883767540168595	1.4327007339340465	2.0095554142156695	4.701661486176852	-2.322787800311565	-0.2876820724517809	1.9021075263969205	3.1742967814702334	-1.5141277326297755	-0.9675840262617056
BESC-171	5.572990184406177	3.8987351111012107	7.412160334945205	1.8991179875485542	7.9483852851118995	7.503840746698951	8.442469645220301	9.147507062804614	4.579954936847027	4.475061500641071	1.9712993830601329	0.6097655716208943	1.3506671834767394	4.9668923711483375	-2.864704011147587	-0.5621189181535413	1.085189268335969	3.3826939100975957	-1.7147984280919266	0.16551443847757333
BESC-172	5.259836379729755	3.5148236417370144	7.522400231387125	2.6224923127405635	7.417580402414544	7.249215057114389	8.815073088844464	8.6347984334905	3.9970991777832654	5.0938115486181985	0.6471032420585384	1.1908875647772805	1.5040773967762742	4.9263112121835375	-2.4079456086518722	-0.6931471805599453	1.0885619528146082	2.942331496826876	-1.3470736479666092	-0.941608539858445
BESC-173	5.46763811116474	3.4610373820181723	7.242797922793756	2.305580601973844	7.778211474512493	7.267525427828172	8.651374372882257	8.986071187374463	4.1356464415792065	4.314817884980432	1.4011829736136412	0.9516578757114463	1.8625285401162623	4.866841903007641	-2.617295837833746	-0.342490308946776	1.425515074273172	3.3951793093365925	-2.3025850929940455	-0.37106368139083207
BESC-178	5.305193670487469	3.4531571205928664	6.878326468291325	3.2969473602883563	7.597897950521784	7.201170883281678	8.874727765766853	8.499029220788566	3.8899818745512658	4.030516899475935	1.7316555451583497	1.184789984909162	1.7439688053917064	4.198704577546343	-3.123565645063876	-0.579818495252942	1.8468787684491346	2.745345985845907	-0.9942522733438669	-1.2039728043259361
BESC-179	6.016352262615761	3.821441627196908	7.530479995245536	2.506341930508065	7.766840537085513	7.486613313139955	8.651374372882257	9.20923976653215	4.021415382199343	4.373364224095228	1.0784095813505903	1.4182774069729414	1.7578579175523736	5.357576350422958	-2.2537949288246137	-0.3856624808119846	1.6428726885203377	3.5729072778615154	-1.5141277326297755	0.12221763272424911
BESC-18	5.337105293755297	3.4503049557691834	7.837554360881084	2.509599262378372	7.801800401908973	7.436617265234227	8.328934041955529	9.437953917961844	4.108083088332614	4.7470169102163275	1.3635373739972745	1.0438040521731147	1.430311246536665	4.9823729843782845	-2.7646205525906042	-0.7133498878774648	1.235471471385307	3.7623622308737397	-1.7147984280919266	-0.5621189181535413
BESC-180	5.205489104236842	3.3631493140246254	7.504391559161238	2.3145136638593193	7.557472901614746	7.329093736246592	8.816260208734581	8.64241515616962	4.219654753187547	5.603004037815642	0.7323678937132266	1.2725655957915476	1.791759469228055	4.405254760793088	-1.6144504542576446	-0.4620354595965587	1.3837912309017721	3.070375816549757	-0.6733445532637656	-0.843970070294529
BESC-181	5.517091385344304	3.9738704087542263	7.335633981927201	3.052112606990099	7.779466967458324	7.498869733976931	8.879611609982035	9.307104040408491	4.474605815966975	4.24448722065182	1.742219023667919	1.5173226235262947	1.9782390361706734	5.073484889801866	-2.9187712324178627	-0.4780358009429998	1.9768549529047348	3.7152779279684673	-1.0788096613719298	-0.3011050927839216
BESC-182	5.649502267743131	4.000400116045559	7.645875825184813	2.4150205223238337	7.813995675002791	7.4360278163518485	8.962007209588313	9.47677327138879	3.750914845033389	4.327966357823938	1.2584609896100056	0.37843643572024505	1.6620303625532709	5.723748487297079	-2.333044300478754	-0.31471074483970024	0.9477893989335261	3.901568547524287	-1.5606477482646683	0.09531017980432493
BESC-184	5.452325179027384	3.9225672193038172	6.927557906278317	2.354228326145884	7.766840537085513	7.3632795869630385	8.445482343862237	8.544029845369797	3.9441028988915576	5.097546666085552	0.43178241642553783	0.7793248768009977	1.6094379124341003	4.763796549270511	-2.162823150618887	-0.6733445532637656	1.3635373739972745	2.73696154459663	-1.6094379124341003	-1.1086626245216111
BESC-185	5.433328913203914	3.534853766474829	7.637234388789473	2.1540850846756014	7.631431664576906	7.4360278163518485	8.480736654405622	9.390743422947507	3.9102213834815176	4.92304192960293	0.5933268452777344	1.9878743481543455	2.174751721484161	5.05209708390385	-2.2926347621408776	-0.8209805520698302	1.3937663759585917	3.8181517898180757	-1.2729656758128873	0.01980262729617973
BESC-187	5.604183109433446	3.6676558176623097	7.776954403322442	3.218475744846861	7.785305182539862	7.441906728051625	8.844912950899548	9.195632743103909	3.4384931664058525	4.494015136621929	1.449269160281279	1.0152306797290584	1.5282278570085572	5.114514713472284	-2.631089159966082	-0.4780358009429998	1.9459101490553132	3.5046560900303856	-0.8675005677047231	-0.8675005677047231
BESC-19	5.2284312390838705	3.531055368920369	7.335633981927201	3.0754672415728446	7.67368812926773	7.2196420401307355	9.207736986106068	8.845489236753274	4.364371699435161	4.781976562093936	1.6882490928583902	1.2149127443642704	1.9065751436566365	4.803939074160646	-2.430418464503931	-0.4942963218147801	2.1210632163706555	3.1157350659486873	-1.6607312068216509	-0.4942963218147801
BESC-191	5.985848808322347	3.111735949310297	7.170888478512505	3.190064743014081	7.842278779117352	7.515889085215125	8.700680734850161	9.041921720351219	4.634243433473799	4.306359755748467	1.5933085305042167	1.4861396960896067	1.9671123567059163	5.230306155931493	-2.563949857128453	-0.40047756659712525	2.1713368063840917	3.410817625039146	-0.7339691750802004	-0.15082288973458366
BESC-195	5.675760158082435	3.6873783279876693	7.558516743045645	2.805781689595545	7.562161631225652	7.271703706887368	8.871926251117628	8.80537513890967	3.6025042383671906	4.351438552905858	1.3762440252663892	0.7884573603642703	1.572773928062509	5.223701573167247	-2.4769384801388235	-0.5621189181535413	1.900613874140137	3.1276373444339294	-1.2378743560016174	-0.6931471805599453
BESC-197	5.280000634762139	3.1629401925378975	7.437206366871292	2.698673039289613	7.829232537543592	7.550135342488429	9.097843340749037	9.172534657240284	4.662778498608405	5.059869803973954	0.5481214085096876	1.3532545070416904	1.7595805708638197	5.068841307160618	-1.9241486572738007	-0.616186139423817	2.1041341542702074	3.5868467285487844	-1.3862943611198906	-0.35667494393873245
